x,y,type,count,orth_count,diag_count
141,17,Combination,2,1,1
249,17,Combination,2,1,1
514,17,Combination,2,1,1
832,24,Combination,2,1,1
125,33,Combination,2,1,1
513,33,Orthogonal,2,2,0
530,33,Combination,2,1,1
548,33,Orthogonal,2,2,0
560,33,Orthogonal,2,2,0
599,33,Orthogonal,2,2,0
615,33,Orthogonal,2,2,0
548,35,Orthogonal,2,2,0
560,35,Orthogonal,2,2,0
599,35,Orthogonal,2,2,0
615,35,Orthogonal,2,2,0
270,38,Combination,2,1,1
355,38,Orthogonal,2,2,0
372,38,Combination,2,1,1
375,38,Combination,2,1,1
406,38,Orthogonal,2,2,0
482,38,Orthogonal,2,2,0
513,38,Orthogonal,2,2,0
535,38,Combination,2,1,1
375,48,Orthogonal,2,2,0
382,48,Combination,2,1,1
385,48,Combination,2,1,1
861,48,Combination,2,1,1
548,51,Combination,2,1,1
513,55,Orthogonal,2,2,0
530,55,Orthogonal,2,2,0
548,55,Orthogonal,2,2,0
552,55,Combination,2,1,1
560,55,Orthogonal,2,2,0
599,55,Orthogonal,2,2,0
606,55,Orthogonal,2,2,0
615,55,Orthogonal,2,2,0
686,55,Orthogonal,2,2,0
801,55,Combination,2,1,1
268,56,Combination,2,1,1
288,56,Combination,2,1,1
310,56,Combination,2,1,1
355,56,Orthogonal,2,2,0
375,56,Orthogonal,2,2,0
390,56,Combination,2,1,1
393,56,Combination,2,1,1
406,56,Orthogonal,2,2,0
130,59,Combination,2,1,1
271,59,Combination,2,1,1
291,59,Combination,2,1,1
313,59,Combination,2,1,1
355,59,Orthogonal,2,2,0
375,59,Orthogonal,2,2,0
393,59,Combination,2,1,1
396,59,Combination,2,1,1
560,63,Combination,2,1,1
452,64,Orthogonal,2,2,0
482,64,Orthogonal,2,2,0
355,67,Combination,2,1,1
788,68,Combination,2,1,1
406,69,Combination,2,1,1
566,69,Diagonal,2,0,2
86,72,Diagonal,2,0,2
406,72,Combination,2,1,1
84,74,Diagonal,2,0,2
560,75,Combination,2,1,1
82,76,Diagonal,2,0,2
797,77,Combination,2,1,1
80,78,Diagonal,2,0,2
290,78,Combination,2,1,1
78,80,Diagonal,2,0,2
821,84,Combination,2,1,1
606,85,Combination,2,1,1
788,86,Combination,2,1,1
375,87,Combination,2,1,1
548,87,Combination,2,1,1
425,88,Combination,2,1,1
821,88,Combination,2,1,1
599,90,Orthogonal,2,2,0
606,90,Orthogonal,2,2,0
611,90,Combination,2,1,1
615,90,Orthogonal,2,2,0
665,90,Orthogonal,2,2,0
673,90,Orthogonal,2,2,0
686,90,Orthogonal,2,2,0
757,90,Combination,2,1,1
766,90,Combination,2,1,1
784,90,Combination,2,1,1
788,90,Orthogonal,2,2,0
797,90,Orthogonal,2,2,0
815,90,Combination,2,1,1
819,90,Combination,2,1,1
821,90,Orthogonal,2,2,0
425,91,Combination,2,1,1
861,93,Combination,2,1,1
615,94,Combination,2,1,1
858,96,Combination,2,1,1
861,98,Combination,2,1,1
355,101,Combination,2,1,1
858,101,Combination,2,1,1
449,102,Orthogonal,2,2,0
452,102,Orthogonal,2,2,0
482,102,Orthogonal,2,2,0
513,102,Orthogonal,2,2,0
530,102,Orthogonal,2,2,0
533,102,Combination,2,1,1
544,102,Orthogonal,2,2,0
545,102,Orthogonal,2,2,0
546,102,Orthogonal,2,2,0
547,102,Orthogonal,2,2,0
548,102,Orthogonal,3,3,0
549,102,Orthogonal,2,2,0
550,102,Orthogonal,2,2,0
551,102,Orthogonal,2,2,0
552,102,Orthogonal,2,2,0
553,102,Orthogonal,2,2,0
554,102,Orthogonal,2,2,0
555,102,Orthogonal,2,2,0
556,102,Orthogonal,2,2,0
557,102,Orthogonal,2,2,0
558,102,Orthogonal,2,2,0
559,102,Orthogonal,2,2,0
560,102,Orthogonal,3,3,0
561,102,Orthogonal,2,2,0
562,102,Orthogonal,2,2,0
563,102,Orthogonal,2,2,0
564,102,Orthogonal,2,2,0
565,102,Orthogonal,2,2,0
566,102,Orthogonal,2,2,0
567,102,Orthogonal,2,2,0
568,102,Orthogonal,2,2,0
599,102,Both,3,2,1
606,102,Orthogonal,2,2,0
615,102,Orthogonal,2,2,0
743,104,Combination,2,1,1
752,104,Combination,2,1,1
770,104,Combination,2,1,1
788,104,Orthogonal,2,2,0
797,104,Orthogonal,2,2,0
801,104,Combination,2,1,1
805,104,Combination,2,1,1
821,104,Orthogonal,2,2,0
833,104,Combination,2,1,1
850,104,Combination,2,1,1
851,104,Combination,2,1,1
855,104,Combination,2,1,1
858,104,Orthogonal,2,2,0
861,104,Both,3,2,1
869,104,Combination,2,1,1
872,104,Combination,2,1,1
893,104,Combination,2,1,1
897,104,Combination,2,1,1
913,104,Combination,2,1,1
915,104,Combination,2,1,1
925,104,Combination,2,1,1
530,105,Combination,2,1,1
106,107,Combination,2,1,1
108,107,Combination,2,1,1
109,107,Combination,2,1,1
113,107,Combination,2,1,1
117,107,Combination,2,1,1
121,107,Combination,2,1,1
124,107,Orthogonal,2,2,0
154,107,Combination,2,1,1
164,107,Combination,2,1,1
178,107,Combination,2,1,1
201,107,Combination,2,1,1
247,107,Combination,2,1,1
248,107,Combination,2,1,1
264,107,Orthogonal,2,2,0
290,107,Orthogonal,2,2,0
858,107,Combination,2,1,1
797,108,Combination,2,1,1
606,109,Combination,2,1,1
124,110,Combination,2,1,1
449,112,Combination,2,1,1
797,112,Combination,2,1,1
861,112,Combination,2,1,1
124,114,Combination,2,1,1
124,115,Combination,2,1,1
449,115,Combination,2,1,1
452,115,Combination,2,1,1
858,115,Combination,2,1,1
861,115,Combination,2,1,1
821,116,Combination,2,1,1
788,117,Combination,2,1,1
124,118,Combination,2,1,1
406,118,Combination,2,1,1
452,118,Combination,2,1,1
615,118,Combination,2,1,1
858,118,Combination,2,1,1
173,120,Combination,2,1,1
177,120,Combination,2,1,1
191,120,Combination,2,1,1
375,121,Combination,2,1,1
788,121,Combination,2,1,1
833,121,Combination,2,1,1
124,122,Combination,2,1,1
513,122,Combination,2,1,1
833,122,Combination,2,1,1
124,123,Combination,2,1,1
264,123,Combination,2,1,1
355,123,Combination,2,1,1
814,123,Combination,2,1,1
264,124,Combination,2,1,1
123,125,Combination,2,1,1
124,125,Both,3,2,1
126,125,Combination,2,1,1
127,125,Combination,2,1,1
131,125,Combination,2,1,1
134,125,Combination,2,1,1
135,125,Combination,2,1,1
139,125,Combination,2,1,1
172,125,Combination,2,1,1
178,125,Combination,2,1,1
181,125,Combination,2,1,1
182,125,Combination,2,1,1
196,125,Combination,2,1,1
219,125,Combination,2,1,1
264,125,Orthogonal,2,2,0
265,125,Combination,2,1,1
266,125,Combination,2,1,1
290,125,Orthogonal,2,2,0
314,125,Orthogonal,2,2,0
337,125,Combination,2,1,1
355,125,Orthogonal,2,2,0
357,125,Combination,2,1,1
375,125,Orthogonal,2,2,0
379,125,Combination,2,1,1
406,125,Orthogonal,2,2,0
413,125,Combination,2,1,1
425,125,Orthogonal,2,2,0
444,125,Combination,2,1,1
449,125,Orthogonal,2,2,0
452,125,Orthogonal,2,2,0
456,125,Orthogonal,2,2,0
459,125,Combination,2,1,1
462,125,Combination,2,1,1
482,125,Orthogonal,2,2,0
510,125,Combination,2,1,1
513,125,Orthogonal,2,2,0
530,125,Orthogonal,2,2,0
548,125,Orthogonal,2,2,0
560,125,Orthogonal,2,2,0
599,125,Orthogonal,2,2,0
615,125,Orthogonal,2,2,0
622,125,Combination,2,1,1
646,125,Combination,2,1,1
665,125,Orthogonal,2,2,0
673,125,Orthogonal,2,2,0
686,125,Orthogonal,2,2,0
722,125,Combination,2,1,1
731,125,Combination,2,1,1
749,125,Combination,2,1,1
124,126,Combination,2,1,1
833,126,Combination,2,1,1
182,129,Combination,2,1,1
449,130,Combination,2,1,1
76,132,Combination,2,1,1
77,132,Orthogonal,2,2,0
94,132,Combination,2,1,1
101,132,Combination,2,1,1
113,132,Combination,2,1,1
116,132,Combination,2,1,1
121,132,Orthogonal,2,2,0
124,132,Orthogonal,2,2,0
130,132,Combination,2,1,1
131,132,Combination,2,1,1
133,132,Combination,2,1,1
134,132,Combination,2,1,1
138,132,Combination,2,1,1
141,132,Combination,2,1,1
142,132,Combination,2,1,1
146,132,Combination,2,1,1
179,132,Combination,2,1,1
182,132,Orthogonal,2,2,0
185,132,Combination,2,1,1
188,132,Combination,2,1,1
189,132,Combination,2,1,1
203,132,Combination,2,1,1
226,132,Combination,2,1,1
264,132,Orthogonal,2,2,0
272,132,Combination,2,1,1
273,132,Combination,2,1,1
290,132,Orthogonal,2,2,0
314,132,Orthogonal,2,2,0
344,132,Combination,2,1,1
355,132,Orthogonal,2,2,0
364,132,Combination,2,1,1
375,132,Orthogonal,2,2,0
386,132,Combination,2,1,1
406,132,Orthogonal,2,2,0
420,132,Combination,2,1,1
425,132,Orthogonal,2,2,0
