x,y,height,is_low_point,basin_number
0,0,9,0
1,0,9,0
2,0,9,0
3,0,7,0,12
4,0,6,0,12
5,0,5,0,12
6,0,6,0,12
7,0,7,0,12
8,0,8,0,12
9,0,9,0
10,0,8,0,0
11,0,7,0,0
12,0,6,0,0
13,0,5,0,0
14,0,4,0,0
15,0,3,0,0
16,0,2,1,0
17,0,3,0,0
18,0,4,0,0
19,0,5,0,0
20,0,6,0,0
21,0,7,0,0
22,0,9,0
23,0,8,0,18
24,0,9,0
25,0,1,0,1
26,0,0,1,1
27,0,1,0,1
28,0,2,0,1
29,0,9,0
30,0,8,0,13
31,0,9,0
32,0,9,0
33,0,8,0,2
34,0,7,0,2
35,0,4,0,2
36,0,3,0,2
37,0,2,0,2
38,0,1,1,2
39,0,9,0
40,0,8,0,3
41,0,5,0,3
42,0,3,0,3
43,0,1,1,3
44,0,3,0,3
45,0,5,0,3
46,0,6,0,3
47,0,7,0,3
48,0,8,0,3
49,0,9,0
50,0,7,0,10
51,0,8,0,10
52,0,9,0
53,0,0,1,4
54,0,1,0,4
55,0,2,0,4
56,0,3,0,4
57,0,9,0
58,0,9,0
59,0,9,0
60,0,9,0
61,0,8,0,8
62,0,7,0,8
63,0,6,0,8
64,0,5,0,8
65,0,4,0,8
66,0,3,0,8
67,0,4,0,8
68,0,2,0,8
69,0,2,0,8
70,0,3,0,8
71,0,4,0,8
72,0,9,0
73,0,1,1,5
74,0,3,0,5
75,0,4,0,5
76,0,9,0
77,0,8,0,14
78,0,9,0
79,0,8,0,14
80,0,9,0
81,0,1,0,6
82,0,0,1,6
83,0,1,0,6
84,0,2,0,6
85,0,9,0
86,0,3,0,7
87,0,2,1,7
88,0,3,0,7
89,0,9,0
90,0,8,0,11
91,0,7,0,11
92,0,6,0,11
93,0,7,0,11
94,0,3,0,11
95,0,2,0,11
96,0,3,0,11
97,0,5,0,11
98,0,6,0,11
99,0,7,0,11
0,1,8,0,12
1,1,9,0
2,1,4,0,12
3,1,3,0,12
4,1,3,0,12
5,1,4,0,12
6,1,5,0,12
7,1,6,0,12
8,1,7,0,12
9,1,8,0,12
10,1,9,0
11,1,9,0
12,1,8,0,0
13,1,6,0,0
14,1,5,0,0
15,1,6,0,0
16,1,3,0,0
17,1,4,0,0
18,1,5,0,0
19,1,6,0,0
20,1,7,0,0
21,1,9,0
22,1,8,0,18
23,1,7,0,18
24,1,8,0,18
25,1,9,0
26,1,1,0,1
27,1,2,0,1
28,1,9,0
29,1,8,0,13
30,1,7,0,13
31,1,8,0,13
32,1,9,0
33,1,9,0
34,1,6,0,2
35,1,5,0,2
36,1,4,0,2
37,1,5,0,2
38,1,9,0
39,1,8,0,3
40,1,7,0,3
41,1,6,0,3
42,1,5,0,3
43,1,2,0,3
44,1,4,0,3
45,1,7,0,3
46,1,8,0,3
47,1,9,0
48,1,9,0
49,1,9,0
50,1,6,0,10
51,1,9,0
52,1,8,0,10
53,1,9,0
54,1,9,0
55,1,9,0
56,1,9,0
57,1,7,0,17
58,1,8,0,17
59,1,9,0
60,1,8,0,8
61,1,7,0,8
62,1,6,0,8
63,1,5,0,8
64,1,4,0,8
65,1,3,0,8
66,1,2,0,8
67,1,1,0,8
68,1,0,1,8
69,1,1,0,8
70,1,2,0,8
71,1,7,0,8
72,1,8,0,8
73,1,9,0
74,1,9,0
75,1,9,0
76,1,8,0,14
77,1,7,0,14
78,1,9,0
79,1,7,0,14
80,1,8,0,14
81,1,9,0
82,1,1,0,6
83,1,2,0,6
84,1,9,0
85,1,8,0,7
86,1,4,0,7
87,1,3,0,7
88,1,4,0,7
89,1,5,0,7
90,1,9,0
91,1,6,0,11
92,1,5,0,11
93,1,3,0,11
94,1,2,0,11
95,1,1,0,11
96,1,2,0,11
97,1,3,0,11
98,1,4,0,11
99,1,5,0,11
0,2,6,0,12
1,2,5,0,12
2,2,3,0,12
3,2,2,0,12
4,2,2,0,12
5,2,3,0,12
6,2,4,0,12
7,2,5,0,12
8,2,8,0,12
9,2,9,0
10,2,2,0,9
11,2,1,1,9
12,2,9,0
13,2,9,0
14,2,6,0,0
15,2,9,0
16,2,4,0,0
17,2,5,0,0
18,2,6,0,0
19,2,8,0,0
20,2,8,0,0
21,2,9,0
22,2,9,0
23,2,6,0,18
24,2,7,0,18
25,2,8,0,18
26,2,9,0
27,2,9,0
28,2,8,0,13
29,2,7,0,13
30,2,6,0,13
31,2,5,0,13
32,2,9,0
33,2,8,0,2
34,2,7,0,2
35,2,8,0,2
36,2,6,0,2
37,2,7,0,2
38,2,8,0,2
39,2,9,0
40,2,8,0,3
41,2,7,0,3
42,2,4,0,3
43,2,3,0,3
44,2,4,0,3
45,2,9,0
46,2,9,0
47,2,9,0
48,2,9,0
49,2,8,0,10
50,2,5,1,10
51,2,6,0,10
52,2,7,0,10
53,2,9,0
54,2,8,0,17
55,2,8,0,17
56,2,8,0,17
57,2,6,0,17
58,2,7,0,17
59,2,8,0,17
60,2,9,0
61,2,8,0,8
62,2,7,0,8
63,2,6,0,8
64,2,7,0,8
65,2,4,0,8
66,2,4,0,8
67,2,5,0,8
68,2,1,0,8
69,2,2,0,8
70,2,3,0,8
71,2,5,0,8
72,2,6,0,8
73,2,7,0,8
74,2,8,0,8
75,2,9,0
76,2,7,0,14
77,2,6,0,14
78,2,5,0,14
79,2,6,0,14
80,2,7,0,14
81,2,8,0,14
82,2,9,0
83,2,9,0
84,2,8,0,7
85,2,7,0,7
86,2,6,0,7
87,2,4,0,7
88,2,7,0,7
89,2,6,0,7
90,2,9,0
91,2,8,0,11
92,2,9,0
93,2,4,0,11
94,2,1,0,11
95,2,0,1,11
96,2,1,0,11
97,2,2,0,11
98,2,5,0,11
99,2,6,0,11
0,3,5,0,12
1,3,4,0,12
2,3,2,0,12
3,3,1,0,12
4,3,0,1,12
5,3,3,0,12
6,3,4,0,12
7,3,6,0,12
8,3,7,0,12
9,3,8,0,12
10,3,9,0
11,3,9,0
12,3,8,0,16
13,3,7,0,16
14,3,9,0
15,3,8,0,16
16,3,9,0
17,3,6,0,0
18,3,7,0,0
19,3,9,0
20,3,9,0
21,3,8,0,18
22,3,7,0,18
23,3,5,0,18
